adm_cd,gu,dong,x,n,long,lat
1101053,종로구,사직동,4,9636,126.9701437,37.57410805
1101054,종로구,삼청동,0,2739,126.9811137,37.58801344
1101055,종로구,부암동,2,9782,126.9625567,37.59669866
1101056,종로구,평창동,1,18329,126.969274,37.61396501
1101057,종로구,무악동,0,8297,126.9589891,37.57774075
1101058,종로구,교남동,3,10203,126.964161,37.57105298
1101060,종로구,가회동,0,4194,126.9866182,37.58267644
1101061,종로구,종로1.2.3.4가동,7,8595,126.9897333,37.57507655
1101063,종로구,종로5.6가동,2,5476,127.004241,37.573016
1101064,종로구,이화동,1,7705,127.0030693,37.57969001
1101067,종로구,창신1동,2,5631,127.0140191,37.57226265
1101068,종로구,창신2동,0,9051,127.0102517,37.57575481
1101069,종로구,창신3동,0,6733,127.0132088,37.57881917
1101070,종로구,숭인1동,2,6106,127.0168612,37.57722518
1101071,종로구,숭인2동,1,10175,127.0206376,37.57430675
1101072,종로구,청운효자동,0,12177,126.9704175,37.58465806
1101073,종로구,혜화동,2,18960,126.9976891,37.58747148
1102052,중구,소공동,1,3367,126.9743586,37.56429679
1102054,중구,회현동,6,5432,126.9767086,37.55696816
1102055,중구,명동,5,3742,126.9843554,37.56372809
1102057,중구,필동,0,4679,126.9938483,37.55680279
1102058,중구,장충동,0,5301,127.0022798,37.55560998
1102059,중구,광희동,2,6340,127.0036254,37.56520434
1102060,중구,을지로동,2,1914,126.9964914,37.56664043
1102065,중구,신당5동,0,10708,127.0220162,37.56358116
1102067,중구,황학동,4,13444,127.020798,37.56841911
1102068,중구,중림동,0,12351,126.9659614,37.55731796
1102069,중구,신당동,5,9095,127.0137748,37.56574752
1102070,중구,다산동,0,14274,127.0082631,37.55470266
1102071,중구,약수동,0,16889,127.0102398,37.54983728
1102072,중구,청구동,0,13818,127.0149896,37.55685546
1102073,중구,동화동,0,10433,127.018671,37.56059413
1103051,용산구,후암동,0,17308,126.9805887,37.54993772
1103052,용산구,용산2가동,0,10775,126.9835321,37.54023873
1103053,용산구,남영동,3,7825,126.9735057,37.54510712
1103057,용산구,원효로2동,1,13875,126.9513933,37.53310438
1103058,용산구,효창동,2,10156,126.9613089,37.54305122
1103059,용산구,용문동,0,11985,126.9585843,37.5381469
1103063,용산구,이촌1동,2,26632,126.9709594,37.5172771
1103064,용산구,이촌2동,0,8374,126.9539394,37.52333115
1103065,용산구,이태원1동,1,8126,126.9932493,37.53339456
1103066,용산구,이태원2동,1,10604,126.9921342,37.54166032
1103069,용산구,서빙고동,0,13912,126.9883765,37.52246962
1103070,용산구,보광동,0,14708,127.0012626,37.52587096
1103071,용산구,청파동,1,20076,126.9671666,37.54785722
1103072,용산구,원효로1동,1,16577,126.9665602,37.53747049
1103073,용산구,한강로동,4,23411,126.9678552,37.52918454
1103074,용산구,한남동,0,22941,127.005801,37.53710166
1104052,성동구,왕십리2동,2,16819,127.0276904,37.56149776
1104054,성동구,마장동,3,22991,127.0404901,37.56763673
1104055,성동구,사근동,3,13505,127.0454347,37.558015
1104056,성동구,행당1동,3,14193,127.0360566,37.55901978
1104057,성동구,행당2동,0,23376,127.0295034,37.55667576
1104058,성동구,응봉동,1,15458,127.0339822,37.5509888
1104059,성동구,금호1가동,1,15315,127.0250557,37.55366878
1104062,성동구,금호4가동,0,14452,127.0246,37.54459485
1104065,성동구,성수1가1동,3,16814,127.0410443,37.54042032
1104066,성동구,성수1가2동,0,12874,127.0439521,37.54907374
1104067,성동구,성수2가1동,2,16279,127.0552814,37.5366552
1104068,성동구,성수2가3동,3,10985,127.0581429,37.54554228
1104069,성동구,송정동,1,10915,127.065698,37.55233315
1104070,성동구,용답동,1,12568,127.0578488,37.55854018
1104071,성동구,왕십리도선동,0,26910,127.0295695,37.56679117
1104072,성동구,금호2.3가동,4,22909,127.0198922,37.55142836
1104073,성동구,옥수동,0,26309,127.0161757,37.54196706
1105053,광진구,화양동,4,26034,127.0734599,37.54326499
1105054,광진구,군자동,4,21500,127.0736809,37.55306569
1105055,광진구,중곡1동,2,15862,127.0777222,37.5620373
1105056,광진구,중곡2동,2,21739,127.084587,37.55890871
1105057,광진구,중곡3동,1,16357,127.0819697,37.56785113
1105058,광진구,중곡4동,0,28954,127.0944481,37.56391182
1105059,광진구,능동,1,11619,127.0816453,37.55065718
1105060,광진구,구의1동,2,22139,127.0860324,37.5414904
1105061,광진구,구의2동,2,27008,127.0944503,37.55100224
1105062,광진구,구의3동,1,28891,127.0952359,37.53509206
1105063,광진구,광장동,1,34834,127.1048726,37.54828309
1105064,광진구,자양1동,3,23134,127.0804154,37.53554348
1105065,광진구,자양2동,1,24930,127.0832539,37.52933469
1105066,광진구,자양3동,3,28330,127.0711983,37.5316904
1105067,광진구,자양4동,7,21296,127.0637659,37.53389181
1106071,동대문구,회기동,0,12727,127.051407,37.59370059
1106072,동대문구,휘경1동,1,16105,127.0624745,37.59187265
1106073,동대문구,휘경2동,0,24847,127.0664358,37.58650599
1106080,동대문구,청량리동,3,19280,127.0451188,37.58894055
1106081,동대문구,용신동,4,33055,127.0322863,37.57561621
1106082,동대문구,제기동,10,26577,127.0372424,37.58367676
1106083,동대문구,전농1동,2,29699,127.051048,37.57901159
1106084,동대문구,전농2동,2,18876,127.0611441,37.58072119
1106086,동대문구,답십리2동,4,28595,127.0611138,37.57089199
1106087,동대문구,장안1동,2,38794,127.0685899,37.56623145
1106088,동대문구,장안2동,2,32791,127.0725385,37.57576022
1106089,동대문구,이문1동,3,20870,127.0602927,37.59722176
1106090,동대문구,이문2동,0,20417,127.0674922,37.60283343
1106091,동대문구,답십리1동,1,29373,127.0516992,37.5709437
1107052,중랑구,면목2동,3,24405,127.0781438,37.58937783
1107054,중랑구,면목4동,2,19308,127.0864748,37.57347748
1107055,중랑구,면목5동,0,14897,127.0796656,37.58297244
1107057,중랑구,면목7동,4,22070,127.0926912,37.5772948
1107059,중랑구,상봉1동,6,24190,127.0894684,37.60202536
1107060,중랑구,상봉2동,3,20647,127.0838977,37.59424491
1107061,중랑구,중화1동,0,19784,127.0831492,37.60228732
1107062,중랑구,중화2동,7,25315,127.0752082,37.59872325
1107064,중랑구,묵1동,5,34636,127.0824505,37.61373601
1107065,중랑구,묵2동,0,18946,127.0746657,37.61037218
1107068,중랑구,망우3동,9,16698,127.1029395,37.5918077
1107069,중랑구,신내1동,1,38649,127.1045067,37.61280175
1107070,중랑구,신내2동,2,20529,127.0916163,37.61095054
1107071,중랑구,면목본동,4,34188,127.0895305,37.58834061
1107072,중랑구,면목3.8동,2,25154,127.0973813,37.58459652
1107073,중랑구,망우본동,5,32469,127.107536,37.6019869
1108058,성북구,돈암1동,1,14791,127.0240416,37.59932704
1108059,성북구,돈암2동,1,23913,127.0116292,37.59727529
1108060,성북구,안암동,1,16527,127.027309,37.58725171
1108061,성북구,보문동,3,15766,127.0192189,37.58260326
1108062,성북구,정릉1동,1,18377,127.0166528,37.60326167
1108063,성북구,정릉2동,1,23268,127.0081182,37.60379361
1108064,성북구,정릉3동,0,16210,126.993765,37.61226303
1108065,성북구,정릉4동,2,25322,126.9951801,37.62351062
1108066,성북구,길음1동,2,35615,127.0197352,37.60811224
1108068,성북구,길음2동,1,16780,127.027231,37.6079711
1108071,성북구,월곡1동,1,26525,127.0364479,37.60787813
1108072,성북구,월곡2동,2,19896,127.0451927,37.60329982
1108076,성북구,장위1동,3,24511,127.0442649,37.61494425
1108077,성북구,장위2동,3,13953,127.0517267,37.61222375
1108078,성북구,장위3동,0,15980,127.0534944,37.61817789
1108081,성북구,성북동,0,17026,126.9961501,37.59586828
1108082,성북구,삼선동,1,23413,127.0117956,37.5866188
1108083,성북구,동선동,1,16115,127.0184261,37.59373543
1108084,성북구,종암동,3,40325,127.0333744,37.59725007
